drug_id,fda,fda_altname,anxiety,anxiety_altname
piperacetazine,NIKETHAMIDE,"Coramine,Nicethamide,Nikethamide,Nikethyl",,
everolimus,Amoxapine,"Amoxapine,Asendin,Asendis,CL-67772,Defanyl",,
hydrocortisone valerate,TRIENTINE HYDROCHLORIDE,"Metalite,MK-0681,NSC-443,Syprine,Trientine,Trientine Dihydrochloride,Trientine HCl",,
felodipine,Dimethyl Sulfoxide,"Dimethyl Sulfoxide,Dmso,Domoso,Infiltrina,NSC-763,RIMSO 50,RIMSO-50,SQ-9453,Syntexan",,
cladribine,RESORCINOL,"D.D.D.,Resorcin,Resorcinol,Tilloderm",,
flurandrenolide,Betazole,"Ametazole,Betazole,Betazole HCl,Betazole Hydrochloride,Betazolium Chloride,Histalog",,
paroxetine,Mephenesin,"Cresoxydiol,Decontractyl,Mephenesin,Tolserol",,
floxuridine,Pyrazinamide,"D-50,MK-56,NSC-14911,Pirilene,Pyrafat,Pyrazinamide,Pyrazine-2-carboxamide,Pyrazinecarboxamide,Tebrazid",,
carbamazepine,Secnidazole,"1-(2-Methyl-5-nitro-imidazol-1-yl)-propan-2-ol,PM-185184,RP-14539,Secnidazole,Solosec,SYM-1219",,
colchicine,UREA,"Sterile UREA,Sential E,Nutraplus,Aquadrate,INS NO.927A,E927B,Flexitol,Pytest,Calmurid,Flexifoot,Carbamide,UREA (14C),E-927A,Meretek Ubt Kit (W/ Pranactin),Urea,UREA (13C),Pylori-Chek Breath TEST,Helicosol,Ureaphil,Eucerin,Balneum PLUS,INS-927A,NSC-34375,St.James BALM,Breathtek Ubt For H-Pylori,Pytest Kit,Hydromol Intensive",,
belinostat,Carbachol Chloride,"Carbachol,Carbacholine Chloride,Carbamoylcholine Chloride,Carbastat,Doryl,Miostat",,
cilostazol,Methoxamine,"Methoxamine,Methoxamine HCl,Methoxamine Hydrochloride,NRL001,NRL-001,Vasoxine,Vasoxyl",,
disulfiram,Bretylium,"ASL-603,Bretylium,Bretylium Tosilate,Bretylium Tosylate,Bretylol",,
itraconazole,Ethionamide,"1314 TH,1314-TH,536-33-4,BAYER 5312,Ethionamide,NSC-255115,Trecator,Trecator-SC",,
clonidine hydrochloride,Sulfanilamide,Sulfanilamide,,
piperacillin,Piribedil,"ET-495,EU-4200,Piribedil,Piribedil Dihydrochloride,Piribedil Hydrochloride,Piribedil Maleate,Trivastal,Trivastal LP",,
BRD-K92158425,Iobenguane,"3-Iodobenzylguanidine (131i),Adreview,Azedra,Iobenguane,IOBENGUANE (123I),IOBENGUANE (131 I),IOBENGUANE (131I),IOBENGUANE I-131,Iobenguane Sulfate,Iobenguane sulfate (123i),Iobenguane sulfate (131i),Iobenguane sulfate i-123,Iodobenzylguanidine sulfate (123i),M131IBG,MIBG-I-123,M-Iodobenzylguanidine Hemisulfate",,
sunitinib,Piracetam,"CL-871,Gabacet,Nootrop,NOOTROP 1200,NOOTROP 400,NOOTROP 800,Nootropil,Piracetam",,
pelitinib,AZELAIC ACID,"Azelaic acid,Azelex,Finacea,NSC-19493,Skinoren,ZK-62498",,
mls-0327420.0002,Epinastine HCl,"DE-114,Elestat,Epinastine,Epinastine HCl,Relestat,WAL-801,WAL 801 CL,WAL-801CL,WAL-802-CL",,
BRD-K10846167,Benzoic acid,"Benzoate,Benzoic acid,E210,Whitfield'S",,
BRD-K53903639,Phensuximide,"Milontin,Phensuccimide,Phensuximide",,
isoxsuprine hydrochloride,2-Mercaptoethane,"D-7093,Mesna,Mesnex,Mistabron,NSC-113891,Uromitexan",,
gw 4064,Methimazole,"Favistan,Methimazole,NSC-38608,Tapazole,Thiamazole",,
ncgc00188740-01,Flucytosine,5-Fluorocytosine,,
BRD-K46373671,Mephentermine,"Mephentermine,Mephentermine Hemisulfate,Mephentermine Sodium,Mephentermine Sulfate,Wyamine Sulfate",,
medroxyprogesterone 17-acetate,Indoprofen,"Indoprofen,K-4277",,
hy161,Procarbazine,"Matulane,Natulan,NCI-C 01810,NCI-C-01810,NSC-77213,Procarbazine,Procarbazine HCl,Procarbazine Hydrochloride,RO-4-6467,RO-46467/1,RO-4646711,RO-4-6467 FREE BASE,RO-4-6467 HYDROCHLORIDE",,
BRD-K78373679,Clomethiazole,"Chlormethiazole,Chlormethiazole Hydrochloride,Clomethiazole,Heminevrin,Sctz [As Edisylate]",,
karakoline,Phenelzine,"Nardil,NSC-170957,Phenelzine,Phenelzine Acid Sulfate,Phenelzine Sulfate,Phenelzine Sulfate Salt",,
BRD-U82589721,Amantadine,"Adamantanamine HCl,Amantadine,Amantadine HCl,Amantadine Hydrochloride,Amantadine Sulfate,Amantidine,EXP-105-1,Gocovri,Lysovir,Mantadine,NSC-341865,NSC-83653,Osmolex ER,Symadine,Symmetrel,TCMDC-125869",,
psb 36,Phenylbutanoic acid,"4-Phenylbutyrate\, sodium salt,Ambutyrate,Ammonaps,AMX-0035 COMPONENT SODIUM PHENYLBUTYRATE,AMX0035 COMPONENT SODIUM PHENYLBUTYRATE,Buphenyl,NSC-657802,Pheburane,Phenylbutanoic acid,Phenylbutyrate,Phenylbutyrate?Na,Phenylbutyrate Sodium,Sodium 4-phenylbutyrate,Sodium Phenylbutyrate",,
NVP-TAE684,Isoetharine,"BETA-2,Bronchilator,Bronkometer,Bronkosol,Etyprenaline,Isoetarine,Isoetarine Hydrochloride,Isoetharine,Isoetharine HCl,Isoetharine Hydrochloride S/F,Isoetharine Mesylate,Isoetharine Mesylate Salt,Numotac,WIN-3406",,
BRD-K63239300,Tocainide,"Tocainide,Tocainide HCl,Tocainide Hydrochloride,Tonocard,W-36095,Xylotocan",,
gw 843682x,Tetrahydrozoline,"Tetrahydrozoline,Tetrahydrozoline HCl,Tetrahydrozoline Hydrochloride,Tetrahydrozoline Nitrate,Tetryzoline,Tetryzoline HCl,Tyzine",,
sb 205384,Diethylcarbamazine,"Banocide,Decacide,Diethylcarbamazine,Diethylcarbamazine Citrate,Difil,Dirocide,Filarabits,Hetrazan,Nemacide",,
BRD-K44276885,Hydroxyamphetamine,"Hydroxyamfetamine,Hydroxyamphetamine,Hydroxyamphetamine Hydrobromide,Hyroxyamfetamine Hydrobromide,Oxamphetamine Hydrobromide,Paredrine",,
BRD-K43226598,Acetaminophen,"Fennings,Junior Parapaed,Panaleve,Calpol,Phenaphen,Disprol,Panadol Advan,Dafalgan,Apap,Hedex,Abdine,Rimadol,Paravict,Acephen,Panadol Actifast SOLB,Tixymol,Perfalgan,Infants' Feverall,Calpol Six PLUS,Medinol,Cupanol,Ofirmev,Disprol Infant,Panadol,Alvedon,Calpol Six Plus Fastmelts,TRAMIL 500,NSC-109028,Paracetamol,Infadrops,Datril,Injectapap,Paramin,Miradol,Parapaed JNR,Disprol PAED,Panadol OA,Parapaed Six PLUS,Placidex,MEDINOL UNDER 6,Mandanol,Disprol JNR,Neopap,Salzone,PANALEVE 6 PLUS,Child Lemsip,NSC-3991,Panadol Actifast,Angiers,Acetaminophen,Tylenol,Galpamol,MEDINOL OVER 6,Panadol JNR,Medised Plain,Paldesic,Medinol For Children",,
srt-1720,Benzocaine,"Aezodent,Americaine,Anthisan PLUS,AR01,AR-01,Baby Anbesol,Benzocaine,Burneze,Children'S Chloraseptic,Dequacaine,Ethyl Aminobenzoate,Lanacane,Medilave,Nestosyl,NSC-41531,NSC-4688,Orajel,Tyrosolven,Tyrozets",,
neratinib,EFLORNITHINE HYDROCHLORIDE,"Dfmo HCl,Difluromethylornithine,DL-Alpha-Difluoromethylornithine HCl,Eflornithine,Eflornithine HCl,Eflornithine Hydrochloride Monohydrate,Eflornithine Hydrocloride,L-Eflornithine Hydrochloride,MDL-71782A,MDL-71782-A,NSC-270295,NSC-337250,Ornidyl,RMI-71782-A,Vaniqa",,
BRD-A42737819,Pralidoxime,"2-PAM,2-Pam chloride,Atnaa,Contrathion,Duodote,Pralidoxime,Pralidoxime Chloride,Pralidoxime Iodide,Pralidoxime Mesylate,Protopam,Protopam Chloride",,
NPK76-II-72-1,Protionamide,"Ektebin,Peteha,Prothionamide,Protionamide,RP-9778,TH-1321,Trevintix",,
SU-11274,Phenacemide,"Phenacemide,Phenurone",,
st023431,Terbutaline,"Brethaire,Brethine,Bricanyl,Bricanyl SA,KWD-2019,Monovent,Monovent SA,Terbasmin,Terbutaline,Terbutaline Hemisulfate,Terbutaline Sulfate,Terbutaline Sulphate",,
BRD-K77547509,Nizatidine,"Axid,Axid AR,LY-139037,Nizatidine,ZINGA 150,ZINGA 300",,
Y-39983,Diethyltoluamide,"Deet,Diethyltoluamide,ENT-20218,ENT-22542,NSC-33840",,
BRD-K26304855,Tacrine,"[14C]-Tacrine monohydrate monohydrochloride,9-Amino-1\,2\,3\,4-tetrahydroacridine hydrochloride,Alzyme,CI-970,Cognex,Tacrine,Tacrine HCl,Tacrine Hydrochloride",,
st019366,Methacholine,"Methacholine,Methacholine Bromide,Methacholine Chloride,Provocholine",,
withaferin-a,Nicotin-Amide,"Freederm,Niacinamide,Niatin,Nicam,Nicobion,Nicotinamide,Nicotinamide (vitamin b3),Nicotinic Acid Amide,Nicotylamide,NSC-13128,NSC-27452,Papulex",,
AZD-7762,Phentermine,"Adipex-P,Duromine,Fastin,Ionamin,Lomaira,NSC-44090,OBESTIN-30,OBY-TRIM,ONA-MAST,Phentermine,Phentermine HCl,Phentermine Hydrochloride,Phentermine Hydrochloride CIV,Phentermine Resin,PHENTERMINE RESIN 30,Phentermine Resin Complex,Suprenza,Tora,Wilpo",,
KIN001-043,Glycerin,"Tixylix Toddler,Osmoglyn,Ophthalgan,GLYCEROL 85%,FEMA NO. 2525,Optim,M 314429,E-422,Tixylix BABY,INS NO.422,NSC-9230,PZN 7474853,Glycerol,Keybells,Glycogelatin,Nirolex,Monoctanoin Component D,Senokot Direct Relief,Glycerin,Waterhouse,E422,INS-422",,
BRD-K11795542,Clioquinol,"Clioquinol,Domeform-HC,Iodochlorhydroxyquin,NSC-3531,NSC-74938,Oralcer,Quin-O-Creme,Vioform",,
GSK-J4,Benzathine benzylpenicillin,,,
THZ-2-98-01,Decamethonium,"Decamethonium,Decamethonium Bromide,Decamethonium Iodide,Syncurine",,
PF-562271,Zolpidem,"Ambien,Ambien CR,Edluar,Intermezzo,SL-80.0750-23N,SL-800750-23N,Stilnoct,Tovalt ODT,Zolpidem,Zolpidem CIV,Zolpidem Tartrate,Zolpimist",,
BRD-K54687541,Meptazinol,"IL-22811 HCL,Meptazinol,Meptazinol HCl,Meptazinol Hydrochloride,Meptid,WY-22811 HCL",,
JW-7-24-1,Promazine,"NSC-31447,Prazine,Promazine,Promazine Chloride,Promazine Granules,Promazine HCl,Promazine Hydrochloride,Protactyl,Sparine,Tranquazine,Verophene",,
cuneatin methyl ether,Dexchlorpheniramine,"Chlorpheniramine D-FORM,Chlorpheniramine D-Form Maleate,D-Chlorpheniramine Maleate,Dexchlorpheniramine,Dexchlorpheniramine Maleate,Mylaramine,Polaramine",,
QL-X-138,Ticlopidine,"4-C-32,53-32C,Ticlid,Ticlopidine,Ticlopidine HCl,Ticlopidine Hydrochloride,Tiklid",,
BRD-K22546959,Sulconazole,"Exelderm,RS-44872,RS-44872-00-10-3,RS-44872-00-1O-3,Sulconazole,Sulconazole Nitrate",,
PF-477736,Zonisamide,Adapiprazine Dihydrochloride,,
BRD-K53423944,Nefopam,"Acupan,Nefopam,Nefopam HCl,Nefopam Hydrochloride",,
BRD-K48950795,Levosalbutamol,"Albuterol (R)-FORM,Albuterol (R)-Form Hydrochloride,ASF-1096,Levalbuterol,Levalbuterol HCl,Levalbuterol Hydrochloride,Levalbuterol Sulfate,Levalbuterol Tartrate,Levosalbutamol,Levosalbutamol Hydrochloride,Xopenex",,
NU-7441,Alverine,"Alverine,Alverine Citrate,Alverine Citrate Salt,Audmonal,Gielism,NSC-35459,Phenpropamine Citrate,Relaxyl,Spasmonal,Spasmonal FTE",,
BRD-K38634661,Bupropion,"Amfebutamone HCl,Aplenzin,Bupropion,Bupropion HCl,Bupropion Hydrobromide,Bupropion Hydrochloride,BVF-033,BW-323,Forfivo XL,NSC-315851,Wellbutrin,WELLBUTRIN 100,WELLBUTRIN 75,Wellbutrin SR,Wellbutrin XL,Zyban",,
TPCA-1,Procainamide,"Biocoryl,Novocainamid,NSC-27461,Procainamide,Procainamide HCl,Procainamide Hydrochloride,Procan,Procanbid,Procan SR,Procapan,Pronestyl,Pronestyl-SR",,
BRD-K19220233,Meclofenamic acid,"CI-583,CL-583,CL-583.NA SALT,INF-4668,Meclodium,Meclofenamate,Meclofenamate Sodium,Meclofenamic acid,Meclofenamic Acid Sodium Salt Monohydrate,Meclomen,NSC-95309",,
aicar,Glafenine,"Glafenine,Glafenine HCl,Glafenine Hydrochloride,Glaphenine,Glycerylaminophenaquine,R-1707",,
WYE-125132,Metoprolol,"CGP-2175E,Metoros,Metoprolol,Toprol-XL,Metoprolol-(+\,-) (+)-Tartrate Salt,Lopresor,CGP-2175,H 93/26 SUCCINATE,Toprol,Metoros LS,CGP-2175C,Tensomex,Betaloc S.A.,H-93/26,Beloc COR,Metoprolol Succinate,MEPRANIX 50,Kapspargo Sprinkle,Lopressor,Betaloc,Metoprolol Fumarate,Lopresor SR,Metoprolol Tartrate,MEPRANIX 100,Toprol XL,Arbralene,Lopressidone",,
tropisetron hcl,Chlorpheniramine,"Antagonate,Alunex,Rhino-Syrup Allergy,(+)-Chlorpheniramine maleate,Kloromin,Dexchlorpheniramine Maleate,Rimarin,Chlorphenamine Maleate,Chlorphenamine,Chlor-Trimeton,PYRIDAMAL 100,Efidac 24 chlorpheniramine maleate,Chlorpheniramine,Piriton Allergy,Piriton,Isoclor,Teldrin,Hayleve,Chlorprophenpyridamine Maleate,Piriject,Chlorpheniramine Maleate,Allercalm Allergy Relief,Chlorpheniramine Polistirex,Calimal,Phenetron,Allerief",,
hy-50940,Mianserin,"Bolvidon,J16.389I,Mianserin,Mianserine Hydrochloride,Mianserin HCl,Mianserin Hydrochloride,Norval,ORG GB 94",,
BRD-K31754360,Methixene,"Methixene,Methixene HCl,Metixen,Metixene,Metixene HCl,Metixene Hydrochloride,SJ-1977,Tremaril,Tremarit,Tremonil,Trest",,
hy-50878,Pheniramine,"Avil RET,Daneral-SA,NSC-47965,Pheniramine,Pheniramine Maleate,PM-241",,
t542500,Sulfabenzamide,"Sulfabenzamide,Sulfabenzamide (Triple Sulfa)",,
s1249,Nomifensine,"HOE-984,Merital,Nomifensine,Nomifensine Maleate",,
cnqx disodium salt,Molsidomine,"CAS 276,Corvasal,Corvaton,Corvaton MITE,Corvaton RET,Molsidomine,Morsydomine",,
BRD-K81814927,Benoxinate,"Benoxinate,Benoxinate HCl,Benoxinate Hydrochloride,Oxibuprocaine Chloride,Oxybuprocaine,Oxybuprocaine HCl",,
OSI-027,Chloroguanide,"NSC-12977,Chlorguanide Hydrochloride,RP-3359,Chloroguanide Hydrochloride,Proguanil Chloride,GW AH7673A,Chloroguanide,M-4888,336U50,336-U-50,GWAH7673A,Chlorguanide,Proguanil Hydrochloride,Paludrine,NSC-26614,Proguanil HCl,Chloroguanide HCl,Proguanil,SN-12837,GW-AH7673A",,
bufalin,Carteolol,"ABBOTT-43326,Carteolol,Carteolol HCl,Carteolol Hydrochloride,Cartrol,Ocupress,OPC-1085,Teoptic",,
ncgc00165289-01,114798-26-4,"Losartan,Losartan Potassium,Losartan potassium (dup 753)",,
spectinomycin dihydrochloride,Xanthinol,"Complamin,Complamin RET,Xanthinol Niacinate,Xanthinol Nicotinate,Xantinol Nicotinate",,
unc0321,Doxapram,"AHR-619,Dopram,Doxapram,Doxapram HCl,Doxapram Hydrochloride,Stimulexin",,
GSK-2126458,Cetirizine,"Zirtek,Ziralton,Zyrtec Allergy,Cetirizine Dihydrochloride,Cetirizine Hydrochloride Hives Relief,Cetirizine HCl,Piriteze,Children'S Zyrtec Hives Relief,Cetec,Cetirocol,Pollenshield,Zerviate,Zyrtec Hives Relief,Cetirizine Hydrochloride Hives,Cetirizine Hydrochloride Allergy,Zyrtec,Becoallergy,Children'S Zyrtec Allergy,Zynor,AC-170,Cetirizine,Allertek,P-071,Cetirizine Hydrochloride,Allacan",,
"ly-278,584",Ketotifen,"Alaway,HC-20511,HC-20511 FUMARATE,Ketotifen,Ketotifen Fumarate,(R)-Ketotifen,Zaditen,Zaditor",,
rapamycin,Bepridil,"Bepadin,Bepridil,Bepridil HCl,Bepridil Hydrochloride,CERM-1978,Vascor",,
jnj 10191584 maleate,Amiodarone,"Amidox,Amiodarone,Amiodarone?Hcl,Amiodarone HCl,Amiodarone Hydrochloride,Amyben,Cordarone,Cordarone X,CORDARONE X 100,CORDARONE X 200,Darmil,L-3428,Nexterone,NSC-85442,Pacerone,SK&F-33134-A,SKF-33134A,SKF-33134-A",,
"ici-118,551 hydrochloride",Amodiaquine,"Amodiaquin,Amodiaquin Dihydrochloride Dihydrate,Amodiaquine,Amodiaquine Dihydrochloride,Amodiaquine HCl,Camoquin,Camoquin HCl,GNF-PF-5648,NSC-13453,SJ000110703,TCMDC-123932",,
emetine hydrochloride,Levobunolol,"Akbeta,Betagan,Levobunolol,Levobunolol HCl,(-) -Levobunolol hydrochloride,W-7000A",,
3-methyladenine,Acebutolol,"Acebut HCl,Acebutolol,Acebutolol HCl,Acebutolol Hydrochloride,C07AB04,IL-17803A,M&B-17803A,Sectral,SECTRAL 200,SECTRAL 400",,
BRD-K02562327,Ruxolitinib,"INC424,INC-424,INCB018424,INCB-018424,INCB-018424 PHOSPHATE,INCB018424 PHOSPHATE,Incb018424(ruxolitinib),INCB-018424 SALT,INCB-18424,INCB-18424 PHOSPHATE,Jakafi,Jakavi,Ruxolitinib,Ruxolitinib (incb018424),Ruxolitinib Phosphate",,
